ID,wav,wav_format,duration,gender
0,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_12\common_voice_ar_20401372.wav,.wav,3.096,male
1,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_11\common_voice_ar_19216539.wav,.wav,2.4,female
2,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_197\common_voice_ar_19375914.wav,.wav,2.784,male
3,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_161\common_voice_ar_20026829.wav,.wav,4.968,female
4,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_3\common_voice_ar_19529991.wav,.wav,3.024,male
5,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_13\common_voice_ar_19083375.wav,.wav,2.496,female
6,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_122\common_voice_ar_19204113.wav,.wav,4.824,male
7,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_63\common_voice_ar_19850609.wav,.wav,3.696,male
8,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_111\common_voice_ar_19285863.wav,.wav,6.816,male
9,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_111\common_voice_ar_19285859.wav,.wav,3.216,male
10,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_187\common_voice_ar_19541088.wav,.wav,6.456,female
11,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_171\common_voice_ar_19651948.wav,.wav,3.48,male
12,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_191\common_voice_ar_19233448.wav,.wav,4.824,male
13,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_183\common_voice_ar_21262385.wav,.wav,3.024,male
14,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_4\common_voice_ar_19205154.wav,.wav,3.24,male
15,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_8\common_voice_ar_19228437.wav,.wav,2.784,female
16,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_6\common_voice_ar_19855706.wav,.wav,3.408,female
17,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_183\common_voice_ar_21262384.wav,.wav,4.824,male
18,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_5\common_voice_ar_19179148.wav,.wav,4.512,female
19,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_82\common_voice_ar_19219147.wav,.wav,5.856,male
20,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_166\common_voice_ar_20429386.wav,.wav,3.312,male
21,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_132\common_voice_ar_19164211.wav,.wav,5.616,male
