ID,wav,wav_format,duration,language
0,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_1\common_voice_ar_19221982.wav,.wav,4.416,Arabic
1,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_1\common_voice_ar_19248574.wav,.wav,4.416,Arabic
2,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_1\common_voice_ar_19251227.wav,.wav,4.176,Arabic
3,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_1\common_voice_ar_19299441.wav,.wav,3.144,Arabic
4,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_1\common_voice_ar_19317460.wav,.wav,3.216,Arabic
5,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_10\common_voice_ar_19350418.wav,.wav,3.216,Arabic
6,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_10\common_voice_ar_19356231.wav,.wav,4.704,Arabic
7,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_10\common_voice_ar_19361814.wav,.wav,2.784,Arabic
8,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_10\common_voice_ar_19370849.wav,.wav,2.496,Arabic
9,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_10\common_voice_ar_19375666.wav,.wav,3.384,Arabic
10,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_100\common_voice_ar_19749067.wav,.wav,5.424,Arabic
11,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_100\common_voice_ar_19749069.wav,.wav,4.704,Arabic
12,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_100\common_voice_ar_19749070.wav,.wav,5.856,Arabic
